PeriodId,cHRev-20210-farreplacerandom,AuthorshipRec-20211-farreplacerandom,RevOwnRec-20212-farreplacerandom,RetentionRec-20213-farreplacerandom,LearnRec-20214-farreplacerandom,TurnoverRec-20215-farreplacerandom,WhoDo-20216-farreplacerandom,cHRev-20218-add,AuthorshipRec-20219-add,RevOwnRec-20220-add,RetentionRec-20221-add,LearnRec-20222-add,TurnoverRec-20223-add,WhoDo-20224-add,TurnoverRec-20225-addAndReplace,TurnoverRec-20226-addHoarded_2,TurnoverRec-20227-addHoarded_3,TurnoverRec-20228-addHoarded_4
1,312.5,275,225,-12.5,287.5,-12.5,50,100,100,100,100,100,100,100,-87.5,-75,-75,-75
2,1.34680134680134,7.07070707070707,-1.68350168350169,-1.68350168350169,7.74410774410774,-1.68350168350169,-0.67340067340067,-86.1952861952862,-14.1414141414141,-86.1952861952862,-91.2457912457912,-93.6026936026936,-99.3265993265993,-7.74410774410774,-17.8451178451178,-84.1750841750842,-82.4915824915825,-82.4915824915825
3,0,1.840490797546,-2.14723926380368,-2.14723926380368,13.8036809815951,-2.14723926380368,-1.53374233128835,-87.4233128834356,-23.6196319018405,-87.4233128834356,-91.717791411043,-93.558282208589,-99.079754601227,-15.9509202453988,-16.5644171779141,-85.2760736196319,-84.9693251533742,-84.9693251533742
4,8.21114369501466,12.316715542522,9.09090909090908,0.879765395894427,24.0469208211144,-0.293255131964809,11.1436950146627,-88.8563049853372,-27.2727272727273,-88.8563049853372,-92.6686217008798,-87.9765395894428,-99.7067448680352,-20.2346041055719,-26.099706744868,-79.4721407624633,-78.5923753665689,-78.5923753665689
5,16.0326086956522,19.8369565217391,8.42391304347827,0,21.4673913043478,-0.271739130434778,19.5652173913043,-79.3478260869565,-38.5869565217391,-78.804347826087,-92.3913043478261,-74.1847826086957,-98.9130434782609,-23.0978260869565,-23.3695652173913,-81.25,-80.1630434782609,-80.1630434782609
6,12.0204603580563,17.1355498721228,33.5038363171356,-0.767263427109977,25.0639386189258,-1.79028132992327,16.3682864450128,-79.2838874680307,-36.8286445012788,-27.1099744245524,-87.7237851662404,-70.076726342711,-94.1176470588235,-22.7621483375959,-22.2506393861893,-76.9820971867008,-75.9590792838875,-75.9590792838875
7,6.63390663390664,10.8108108108108,-3.43980343980343,-4.91400491400491,18.9189189189189,-6.63390663390664,15.4791154791155,-78.8697788697789,-37.3464373464373,-81.0810810810811,-87.960687960688,-72.972972972973,-94.1031941031941,-26.7813267813268,-24.8157248157248,-78.8697788697789,-77.8869778869779,-75.6756756756757
8,4.12573673870333,5.30451866404715,-17.8781925343811,-18.2711198428291,18.2711198428291,-20.2357563850688,11.1984282907662,-80.943025540275,-42.4361493123772,-77.4066797642436,-89.9803536345776,-73.6738703339882,-94.8919449901768,-31.8271119842829,-40.2750491159136,-76.2278978388998,-74.4597249508841,-73.6738703339882
9,-0.829875518672196,4.77178423236515,-19.9170124481328,-18.8796680497925,10.9958506224066,-20.954356846473,9.5435684647303,-82.9875518672199,-40.4564315352697,-83.195020746888,-89.0041493775934,-73.6514522821577,-94.1908713692946,-26.7634854771784,-37.7593360995851,-75.3112033195021,-73.0290456431535,-72.8215767634855
10,21.301775147929,15.5818540433925,23.8658777120316,-14.792899408284,28.9940828402367,-17.948717948718,7.49506903353057,-35.5029585798817,-38.6587771203156,-71.2031558185404,-64.1025641025641,-29.3885601577909,-68.6390532544379,-37.0808678500986,-36.094674556213,-56.0157790927022,-52.6627218934911,-52.465483234714
11,18.2282793867121,16.1839863713799,34.5826235093697,-13.7989778534923,25.8943781942078,-17.206132879046,4.9403747870528,-40.5451448040886,-32.8790459965929,-38.6712095400341,-61.6695059625213,-28.6201022146508,-65.587734241908,-41.396933560477,-35.7751277683135,-53.1516183986371,-48.8926746166951,-48.7223168654174
12,10.413694721826,7.84593437945791,14.1226818830243,-5.56348074179743,24.9643366619116,-6.56205420827389,13.6947218259629,-35.3780313837375,-31.0984308131241,-64.0513552068474,-53.0670470756063,-24.9643366619116,-54.9215406562054,-33.8088445078459,-28.9586305278174,-39.2296718972896,-34.9500713266762,-35.5206847360913
13,11.5862068965517,12,13.3793103448276,-6.75862068965517,36.8275862068965,-8.82758620689655,20.551724137931,-33.9310344827586,-33.5172413793103,-60.6896551724138,-55.3103448275862,-24.6896551724138,-56.8275862068966,-32.1379310344828,-28.1379310344828,-41.1034482758621,-35.1724137931035,-34.2068965517241
14,10.8910891089109,10.7496463932107,21.9236209335219,-16.973125884017,40.4526166902404,-17.5388967468175,14.4271570014144,-34.0876944837341,-32.2489391796323,-32.3903818953324,-56.011315417256,-23.4794908062235,-57.8500707213579,-32.1074964639321,-29.4200848656294,-42.1499292786421,-36.4922206506365,-35.6435643564356
15,8.81953867028493,2.30664857530529,21.438263229308,-19.5386702849389,31.0719131614654,-19.9457259158752,8.95522388059702,-33.5142469470828,-31.6146540027137,-33.1071913161465,-59.1587516960651,-29.0366350067843,-61.6010854816825,-35.2781546811398,-32.0217096336499,-45.5902306648575,-40.7055630936228,-39.8914518317503
16,6.41200545702592,7.50341064120055,23.4652114597544,-13.3697135061392,23.7380627557981,-15.4160982264666,8.32196452933152,-37.2442019099591,-39.8362892223738,-38.1991814461119,-59.3451568894952,-32.4693042291951,-61.8008185538881,-43.656207366985,-30.968622100955,-42.4283765347885,-36.5620736698499,-35.0613915416098
Median,9.61661669605545,10.7802286020108,13.7509961139259,-9.62931034482759,24.505628741513,-10.6637931034483,11.1710616527145,-59.7074618369337,-33.1981436879516,-67.6272555126939,-75.9131746344023,-51.273015285953,-81.371123678816,-29.3042193828048,-29.1893576967234,-75.155601659751,-73.7443852970188,-73.2477235487368
Average,27.9808357086689,26.6411883697379,23.9831561346086,-9.31740750959197,39.9846815853126,-10.6222030335731,13.0923377047952,-50.8818929054727,-25.0338606404467,-53.0240086438961,-64.4598231759833,-45.7715877618888,-68.8473555569992,-20.6642478892113,-32.3660210556103,-64.5145831196775,-61.7493058311728,-61.3036448540354
