PeriodId,cHRev-21132-farreplacerandom,AuthorshipRec-21133-farreplacerandom,RevOwnRec-21134-farreplacerandom,RetentionRec-21135-farreplacerandom,LearnRec-21136-farreplacerandom,TurnoverRec-21137-farreplacerandom,WhoDo-21138-farreplacerandom,cHRev-21140-add,AuthorshipRec-21141-add,RevOwnRec-21142-add,RetentionRec-21143-add,LearnRec-21144-add,TurnoverRec-21145-add,WhoDo-21146-add,TurnoverRec-21147-addAndReplace,TurnoverRec-21148-addHoarded_2,TurnoverRec-21149-addHoarded_3,TurnoverRec-21150-addHoarded_4
1,56,68,52,8.00000000000001,76,16,112,-44,-80,-92,-36,-32,-36,-84,8.00000000000001,-24,-24,-12
2,-30.952380952381,-34.9206349206349,-37.3015873015873,-50.7936507936508,7.93650793650793,-49.2063492063492,-40.4761904761905,-70.6349206349206,-96.8253968253968,-92.8571428571429,-98.4126984126984,-69.8412698412698,-98.4126984126984,-97.6190476190476,-65.0793650793651,-91.2698412698413,-91.2698412698413,-85.7142857142857
3,-10.1851851851852,-2.77777777777778,-11.1111111111111,-16.6666666666667,39.8148148148148,-32.4074074074074,-18.5185185185185,-79.6296296296296,-91.6666666666667,-87.037037037037,-87.037037037037,-65.7407407407407,-87.962962962963,-92.5925925925926,-49.0740740740741,-75.9259259259259,-70.3703703703704,-64.8148148148148
4,4.6242774566474,25.4335260115607,-1.73410404624278,-41.0404624277457,42.7745664739884,-42.7745664739884,21.9653179190751,-77.4566473988439,-75.1445086705202,-82.6589595375723,-84.9710982658959,-53.1791907514451,-81.5028901734104,-74.5664739884393,-49.1329479768786,-74.5664739884393,-68.2080924855491,-67.0520231213873
5,44.3661971830986,60.5633802816902,164.788732394366,43.6619718309859,58.4507042253521,10.5633802816901,67.6056338028169,-69.0140845070423,-74.6478873239437,-80.2816901408451,-69.7183098591549,-62.6760563380282,-69.7183098591549,-76.056338028169,-12.6760563380282,-61.2676056338028,-45.0704225352113,-40.8450704225352
6,26.6666666666667,40.5128205128205,-4.61538461538461,-22.5641025641026,47.1794871794872,-27.6923076923077,90.2564102564102,-67.1794871794872,-70.2564102564102,-91.7948717948718,-88.7179487179487,-79.4871794871795,-90.2564102564103,-74.3589743589744,-42.5641025641026,-84.1025641025641,-76.9230769230769,-73.8461538461539
7,-11.5384615384615,13.986013986014,-28.3216783216783,-37.4125874125874,-0.699300699300698,-39.1608391608392,50,-75.8741258741259,-80.0699300699301,-94.0559440559441,-92.3076923076923,-86.3636363636364,-92.3076923076923,-81.8181818181818,-59.0909090909091,-82.8671328671329,-77.972027972028,-75.8741258741259
8,-3.21637426900585,12.280701754386,-11.9883040935672,-20.1754385964912,-4.09356725146199,-27.4853801169591,50.2923976608187,-66.9590643274854,-67.5438596491228,-82.7485380116959,-81.5789473684211,-79.8245614035088,-82.7485380116959,-64.0350877192982,-34.2105263157895,-76.6081871345029,-75.7309941520468,-72.8070175438597
9,-5.97014925373134,9.55223880597016,-25.6716417910448,-23.2835820895522,14.0298507462687,-31.044776119403,48.955223880597,-68.955223880597,-71.9402985074627,-83.5820895522388,-83.5820895522388,-73.134328358209,-84.7761194029851,-68.0597014925373,-45.0746268656716,-78.2089552238806,-75.8208955223881,-73.7313432835821
10,-2.1680216802168,15.4471544715447,-4.87804878048781,-11.1111111111111,22.2222222222222,-17.0731707317073,35.7723577235772,-71.0027100271003,-72.89972899729,-83.4688346883469,-84.5528455284553,-76.1517615176152,-84.8238482384824,-68.5636856368564,-49.8644986449865,-76.9647696476965,-75.0677506775068,-73.1707317073171
11,-6.73076923076923,13.8461538461538,-32.6923076923077,-27.5,1.53846153846153,-36.9230769230769,36.1538461538462,-69.2307692307692,-76.7307692307692,-90.3846153846154,-95.3846153846154,-73.6538461538462,-95.7692307692308,-80.9615384615385,-56.1538461538462,-87.6923076923077,-85.3846153846154,-82.8846153846154
12,-9.17293233082707,8.42105263157895,-26.015037593985,-36.5413533834586,-2.10526315789473,-37.593984962406,26.015037593985,-68.2706766917293,-80.6015037593985,-78.9473684210526,-93.984962406015,-72.1804511278195,-93.6842105263158,-73.984962406015,-59.3984962406015,-86.9172932330827,-84.0601503759398,-82.406015037594
13,-9.98201438848921,2.33812949640289,-11.5107913669065,-20.3237410071942,-0.359712230215825,-20.5035971223022,15.9172661870504,-62.589928057554,-57.8237410071943,-71.2230215827338,-82.3741007194245,-62.2302158273381,-80.7553956834532,-56.5647482014388,-38.6690647482014,-70.6834532374101,-67.6258992805755,-64.2985611510791
14,-0.188323917137478,5.55555555555556,-16.0075329566855,-27.9661016949153,1.78907721280603,-31.8267419962335,26.4595103578154,-56.5913370998117,-62.6177024482109,-71.939736346516,-82.8625235404896,-53.6723163841808,-82.5800376647834,-49.3408662900188,-46.8926553672316,-72.5047080979284,-69.2090395480226,-67.2316384180791
15,-3.86784850926672,2.33682514101532,-15.9548751007252,-28.928283642224,-4.1095890410959,-36.8251410153102,21.4343271555197,-54.8751007252216,-53.4246575342466,-63.2554391619662,-80.8219178082192,-48.5092667203868,-83.6422240128928,-42.143432715552,-56.1643835616438,-67.2038678485093,-64.1418211120065,-62.6913779210314
16,0.608695652173918,8.52173913043479,1.91304347826087,-31.0434782608696,3.39130434782609,-38.7826086956522,26.3478260869565,-54.6086956521739,-59.6521739130435,-67.6521739130435,-82.695652173913,-51.0434782608696,-82.4347826086957,-45.3913043478261,-63.304347826087,-69.9130434782609,-67.5652173913043,-66.7826086956522
17,-3.90683696468821,-0.976709241172047,-16.3035311795642,-10.5935386927122,5.78512396694215,-28.099173553719,22.9151014274981,-54.4703230653644,-58.8279489105935,-62.8850488354621,-54.2449286250939,-49.4365138993238,-69.4214876033058,-49.2111194590533,-40.6461307287754,-57.0247933884297,-54.2449286250939,-53.0428249436514
Median,-3.86784850926672,9.55223880597016,-11.9883040935672,-23.2835820895522,5.78512396694215,-31.8267419962335,26.4595103578154,-68.2706766917293,-72.89972899729,-82.7485380116959,-83.5820895522388,-65.7407407407407,-83.6422240128928,-73.984962406015,-49.0740740740741,-75.9259259259259,-70.3703703703704,-67.2316384180791
Average,2.02273757284865,14.5953040991496,-1.4943623575677,-20.8401250889586,18.2085110755711,-27.6962200527042,34.8879733653681,-65.3731014106974,-72.3925402217764,-80.986618313005,-81.1321981004302,-64.0661654809058,-82.1645199114218,-69.36870912562,-44.7056489162466,-72.8071131041009,-68.9803025662104,-65.8348945811626
