PeriodId,cHRev-21132-farreplacerandom,AuthorshipRec-21133-farreplacerandom,RevOwnRec-21134-farreplacerandom,RetentionRec-21135-farreplacerandom,LearnRec-21136-farreplacerandom,TurnoverRec-21137-farreplacerandom,WhoDo-21138-farreplacerandom,cHRev-21140-add,AuthorshipRec-21141-add,RevOwnRec-21142-add,RetentionRec-21143-add,LearnRec-21144-add,TurnoverRec-21145-add,WhoDo-21146-add,TurnoverRec-21147-addAndReplace,TurnoverRec-21148-addHoarded_2,TurnoverRec-21149-addHoarded_3,TurnoverRec-21150-addHoarded_4
1,0,0,0,0,0,0,0,28.0405405405405,27.027027027027,27.3648648648649,27.027027027027,27.027027027027,27.027027027027,27.027027027027,6.08108108108108,16.8918918918919,14.527027027027,13.5135135135135
2,0,0,0,0,0,0,0,28.604118993135,28.604118993135,28.3752860411899,28.604118993135,28.604118993135,28.604118993135,28.604118993135,4.34782608695652,18.3066361556064,14.41647597254,12.1281464530892
3,0,0,0,0,0,0,0,31.304347826087,31.0869565217391,31.304347826087,30.8695652173913,31.304347826087,31.304347826087,30.8695652173913,3.91304347826087,19.7826086956522,14.1304347826087,11.7391304347826
4,0,0,0,0,0,0,0,33.3333333333333,33.2207207207207,33.3333333333333,33.2207207207207,33.2207207207207,33.2207207207207,33.2207207207207,7.09459459459459,19.1441441441441,12.5,9.12162162162162
5,0,0,0,0,0,0,0,23.9583333333333,23.9583333333333,23.828125,23.9583333333333,23.9583333333333,23.9583333333333,23.828125,2.734375,13.28125,10.4166666666667,8.59375
6,0,0,0,0,0,0,0,22.3113964686998,22.0706260032103,22.23113964687,22.0706260032103,22.3113964686998,22.23113964687,22.1508828250401,3.37078651685393,10.2728731942215,6.74157303370786,5.45746388443018
7,0,0,0,0,0,0,0,13.641488162345,13.3032694475761,13.5287485907554,13.3032694475761,13.5287485907554,13.3032694475761,13.4160090191657,1.69109357384442,7.10259301014656,5.97519729425028,4.847801578354
8,0,0,0,0,0,0,0,26.6493055555556,26.7361111111111,26.5625,26.5625,26.6493055555556,26.5625,26.7361111111111,2.43055555555556,16.4930555555556,12.3263888888889,9.375
9,0,0,0,0,0,0,0,18.9922480620155,18.9922480620155,18.9147286821705,18.9147286821705,18.9147286821705,18.9147286821705,18.9922480620155,2.63565891472868,9.76744186046512,6.97674418604651,5.03875968992248
10,0,0,0,0,0,0,0,14.4045761830473,14.3525741029641,14.3525741029641,14.3005720228809,14.3525741029641,14.3005720228809,14.4045761830473,2.13208528341134,6.70826833073323,3.95215808632345,2.54810192407696
11,0,0,0,0,0,0,0,12.2543950361944,12.2543950361944,12.2026887280248,12.1509824198552,12.2026887280248,12.1509824198552,12.2543950361944,1.86142709410548,5.37745604963806,3.61944157187177,2.84384694932782
12,0,0,0,0,0,0,0,16.2451361867704,16.2451361867704,16.0505836575875,16.0505836575875,16.0505836575875,16.0505836575875,16.3424124513619,2.14007782101167,7.78210116731517,5.54474708171206,4.47470817120623
13,0,0,0,0,0,0,0,13.5883905013193,13.7203166226913,13.4564643799472,13.4564643799472,13.5883905013193,13.4564643799472,13.5883905013193,2.11081794195251,6.20052770448549,3.82585751978892,3.29815303430079
14,0,0,0,0,0,0,0,13.0468150422103,13.0468150422103,13.0468150422103,13.0468150422103,13.1235610130468,13.0468150422103,13.0468150422103,1.2279355333845,5.6792018419033,2.83960092095165,1.99539524174981
15,0,0,0,0,0,0,0,15.0423728813559,14.9364406779661,14.8305084745763,14.7245762711864,14.8305084745763,14.7245762711864,15.0423728813559,3.8135593220339,6.46186440677966,4.23728813559322,3.49576271186441
16,0,0,0,0,0,0,0,14.3790849673203,14.1176470588235,14.2483660130719,14.2483660130719,14.1176470588235,14.2483660130719,14.3790849673203,2.35294117647059,7.05882352941176,4.83660130718954,3.39869281045752
17,0,0,0,0,0,0,0,13.8761467889908,13.7614678899083,13.8761467889908,13.7614678899083,13.8761467889908,13.7614678899083,13.9908256880734,1.94954128440367,6.30733944954128,4.01376146788991,3.55504587155963
18,0,0,0,0,0,0,0,12.5,12.4177631578947,12.5,12.4177631578947,12.5,12.4177631578947,12.5822368421053,1.06907894736842,5.50986842105263,3.86513157894737,2.63157894736842
19,0,0,0,0,0,0,0,11.7764471057884,11.5768463073852,11.5768463073852,11.5768463073852,11.5768463073852,11.5768463073852,11.5768463073852,1.39720558882236,7.38522954091816,3.79241516966068,3.1936127744511
ReviewerPlusPlus_Lifetime,0,0,0,0,0,0,0,17.7898007285194,17.7040925648168,17.6987358045854,17.6398114420399,17.7148060852796,17.6612384829655,17.7469466466681,2.57124491107778,9.14934647525177,6.31026355260339,4.91214913220484
