PeriodId,cHRev-132-farreplacerandom,AuthorshipRec-133-farreplacerandom,RevOwnRec-134-farreplacerandom,RetentionRec-135-farreplacerandom,LearnRec-136-farreplacerandom,TurnoverRec-137-farreplacerandom,WhoDo-138-farreplacerandom,cHRev-140-add,AuthorshipRec-141-add,RevOwnRec-142-add,RetentionRec-143-add,LearnRec-144-add,TurnoverRec-145-add,WhoDo-146-add,TurnoverRec-147-addAndReplace,TurnoverRec-148-addHoarded_2,TurnoverRec-149-addHoarded_3,TurnoverRec-150-addHoarded_4
1,200,300,100,100,2000,100,200,100,100,100,100,0,100,100,100,100,100,100
2,9.52380952380953,28.5714285714286,9.52380952380953,23.8095238095238,85.7142857142857,0,123.809523809524,100,100,100,100,100,100,-95.2380952380952,-90.4761904761905,-9.52380952380952,-9.52380952380952,-9.52380952380952
3,-11.7647058823529,-7.84313725490197,200,7.84313725490196,3.92156862745099,-35.2941176470588,72.5490196078431,-86.2745098039216,-86.2745098039216,-84.3137254901961,-96.078431372549,-82.3529411764706,-96.078431372549,-66.6666666666667,-66.6666666666667,-58.8235294117647,-47.0588235294118,-49.0196078431373
4,232.8125,-14.0625,95.3125,-23.4375,156.25,-51.5625,306.25,-92.1875,-96.875,100,100,-92.1875,100,-90.625,-85.9375,-92.1875,-89.0625,-84.375
5,-21.4067278287462,15.9021406727829,-14.3730886850153,-28.1345565749236,-15.2905198776758,-35.7798165137615,39.7553516819572,-97.8593272171254,-58.7155963302752,-96.6360856269113,-98.1651376146789,-95.7186544342508,-98.1651376146789,-54.7400611620795,-56.2691131498471,-96.6360856269113,-94.8012232415902,-94.4954128440367
6,-13.1687242798354,35.3909465020576,16.4609053497942,0.411522633744865,16.4609053497942,-18.5185185185185,47.3251028806584,-95.8847736625514,-68.7242798353909,-96.2962962962963,-97.119341563786,-92.5925925925926,-97.119341563786,-64.1975308641975,-59.2592592592593,-70.3703703703704,-69.5473251028807,-68.7242798353909
7,-12.4031007751938,17.8294573643411,6.58914728682169,-8.91472868217055,62.4031007751938,-30.2325581395349,98.4496124031008,-63.1782945736434,-70.9302325581395,-96.1240310077519,-96.5116279069768,-67.0542635658915,-96.8992248062015,-64.3410852713178,-67.8294573643411,-71.7054263565891,-71.3178294573643,-70.9302325581395
8,-23.0769230769231,146.153846153846,110.25641025641,28.2051282051282,176.923076923077,-43.5897435897436,261.538461538462,-89.7435897435898,-84.6153846153846,-92.3076923076923,-89.7435897435898,-71.7948717948718,-92.3076923076923,-58.974358974359,-51.2820512820513,-79.4871794871795,-76.9230769230769,-74.3589743589744
9,-12.3893805309734,106.194690265487,36.283185840708,9.73451327433628,64.6017699115044,-15.929203539823,246.902654867257,-91.1504424778761,-94.6902654867257,-96.4601769911504,-96.4601769911504,-40.7079646017699,-96.4601769911504,-78.7610619469027,-73.4513274336283,-91.1504424778761,-91.1504424778761,-41.5929203539823
10,-5.43478260869565,39.1304347826087,20.6521739130435,6.52173913043479,40.7608695652174,-8.69565217391305,67.3913043478261,-63.5869565217391,-57.6086956521739,-93.4782608695652,-93.4782608695652,-59.7826086956522,-93.4782608695652,-51.0869565217391,-43.4782608695652,-90.7608695652174,-90.2173913043478,-59.7826086956522
11,-8.4,14,-6.4,-13.2,46.4,-15.2,70.4,-55.6,-54.8,-81.2,-81.2,-76.4,-81.2,-43.6,-40.8,-77.2,-76.4,-54
12,-8.26771653543307,2.36220472440944,-4.33070866141733,-10.2362204724409,39.7637795275591,-12.2047244094488,38.9763779527559,-59.8425196850394,-49.6062992125984,-85.0393700787402,-85.8267716535433,-53.9370078740157,-85.8267716535433,-41.3385826771654,-41.3385826771654,-83.0708661417323,-82.2834645669291,-60.6299212598425
