PeriodId,cHRev-133-farreplacerandom,AuthorshipRec-134-farreplacerandom,RevOwnRec-135-farreplacerandom,RetentionRec-136-farreplacerandom,LearnRec-137-farreplacerandom,TurnoverRec-138-farreplacerandom,WhoDo-139-farreplacerandom,cHRev-141-add,AuthorshipRec-142-add,RevOwnRec-143-add,RetentionRec-144-add,LearnRec-145-add,TurnoverRec-146-add,WhoDo-147-add,TurnoverRec-148-addAndReplace,TurnoverRec-149-addHoarded_2,TurnoverRec-150-addHoarded_3,TurnoverRec-151-addHoarded_4
4,53.3333333333333,113.333333333333,20,6.66666666666667,33.3333333333333,0,80,-66.6666666666667,-60,-80,-80,-66.6666666666667,-80,-73.3333333333333,-20,-66.6666666666667,-46.6666666666667,-46.6666666666667
5,84,22,0,2,50,0,20,-72,-56,-90,-90,-88,-92,-56,-4,-76,-68,-58
6,26.5486725663717,114.159292035398,25.6637168141593,-28.3185840707965,83.1858407079646,-30.9734513274336,107.964601769911,-81.4159292035398,-84.070796460177,-94.6902654867257,-95.5752212389381,-80.5309734513274,-96.4601769911504,-75.2212389380531,-44.2477876106195,-84.070796460177,-79.646017699115,-79.646017699115
7,18.8679245283019,26.4150943396226,155.660377358491,-25.4716981132076,115.094339622642,-31.1320754716981,16.9811320754717,-67.9245283018868,-74.5283018867924,-75.4716981132076,-81.1320754716981,-76.4150943396226,-83.9622641509434,-69.811320754717,-38.6792452830189,-75.4716981132076,-69.811320754717,-64.1509433962264
8,-24.5283018867924,-3.77358490566038,133.018867924528,-38.6792452830189,3.77358490566038,-46.2264150943396,-22.6415094339623,-68.8679245283019,-67.9245283018868,-59.4339622641509,-74.5283018867924,-71.6981132075472,-76.4150943396226,-61.3207547169811,-51.8867924528302,-69.811320754717,-65.0943396226415,-63.2075471698113
9,-3.09278350515464,16.4948453608248,200,-31.9587628865979,73.1958762886598,-22.680412371134,14.4329896907216,-79.3814432989691,-77.319587628866,-80.4123711340206,-81.4432989690722,-71.1340206185567,-82.4742268041237,-69.0721649484536,-34.020618556701,-72.1649484536082,-64.9484536082474,-54.639175257732
10,41.1764705882353,96.078431372549,13.7254901960784,-17.6470588235294,341.176470588235,-21.5686274509804,139.21568627451,-70.5882352941176,-56.8627450980392,-70.5882352941176,-70.5882352941176,-60.7843137254902,-72.5490196078431,-47.0588235294118,-25.4901960784314,-56.8627450980392,-49.0196078431373,-41.1764705882353
11,31.25,75,-6.25,-15,212.5,-11.25,111.25,-60,-53.75,-62.5,-62.5,-42.5,-62.5,-45,-17.5,-53.75,-48.75,-45
12,10,35.5555555555556,398.888888888889,-32.2222222222222,120,-31.1111111111111,73.3333333333333,-76.6666666666667,-74.4444444444444,-67.7777777777778,-80,-48.8888888888889,-81.1111111111111,-58.8888888888889,-37.7777777777778,-73.3333333333333,-61.1111111111111,-60
13,-9.61538461538461,38.4615384615385,297.115384615385,-40.3846153846154,121.153846153846,-43.2692307692308,61.5384615384615,-75.9615384615385,-72.1153846153846,-75,-75.9615384615385,-64.4230769230769,-79.8076923076923,-55.7692307692308,-48.0769230769231,-70.1923076923077,-60.5769230769231,-63.4615384615385
14,-5.83333333333333,47.5,237.5,-30.8333333333333,140.833333333333,-35,89.1666666666667,-78.3333333333333,-75,-73.3333333333333,-77.5,-53.3333333333333,-79.1666666666667,-61.6666666666667,-42.5,-72.5,-59.1666666666667,-60
15,4.25531914893618,31.9148936170213,271.276595744681,-34.0425531914894,162.765957446808,-40.4255319148936,78.7234042553191,-78.7234042553192,-78.7234042553192,-72.3404255319149,-82.9787234042553,-45.7446808510638,-85.1063829787234,-67.0212765957447,-47.8723404255319,-78.7234042553192,-69.1489361702128,-64.8936170212766
16,8.33333333333333,4.16666666666667,189.166666666667,-45,175.833333333333,-50,74.1666666666667,-80.8333333333333,-82.5,-76.6666666666667,-85.8333333333333,-44.1666666666667,-87.5,-67.5,-54.1666666666667,-79.1666666666667,-75,-69.1666666666667
17,-11.2359550561798,15.1685393258427,103.932584269663,-52.247191011236,91.5730337078652,-51.123595505618,60.6741573033708,-79.2134831460674,-79.2134831460674,-76.9662921348315,-87.6404494382023,-51.685393258427,-87.6404494382023,-67.9775280898876,-59.5505617977528,-79.7752808988764,-74.1573033707865,-70.2247191011236
18,2.73972602739727,29.4520547945206,141.095890410959,-51.3698630136986,152.054794520548,-55.4794520547945,91.7808219178082,-76.7123287671233,-76.7123287671233,-78.0821917808219,-84.9315068493151,-53.4246575342466,-86.3013698630137,-62.3287671232877,-58.9041095890411,-76.7123287671233,-71.9178082191781,-69.8630136986301
19,-16.8421052631579,8.94736842105264,88.421052631579,-56.8421052631579,105.263157894737,-56.3157894736842,66.8421052631579,-76.3157894736842,-76.3157894736842,-75.2631578947368,-85.7894736842105,-55.7894736842105,-85.7894736842105,-61.0526315789474,-63.6842105263158,-80,-76.3157894736842,-73.6842105263158
20,-19.1964285714286,21.875,78.5714285714286,-59.375,104.910714285714,-59.8214285714286,63.3928571428571,-80.3571428571429,-68.3035714285714,-79.4642857142857,-89.7321428571429,-43.3035714285714,-90.1785714285714,-63.3928571428571,-64.7321428571429,-78.5714285714286,-74.5535714285714,-70.9821428571429
Median,4.25531914893618,29.4520547945206,133.018867924528,-32.2222222222222,115.094339622642,-35,73.3333333333333,-76.6666666666667,-74.5283018867924,-75.4716981132076,-81.4432989690722,-55.7894736842105,-83.9622641509434,-62.3287671232877,-44.2477876106195,-75.4716981132076,-68,-63.4615384615385
Average,11.1859110173222,40.7499428457803,138.105114358383,-32.395621525308,122.743977418981,-34.4927718303733,66.2836102626055,-74.7036322110406,-71.3990803239033,-75.7641566545054,-81.5373118169774,-59.9111132104527,-82.880147021875,-62.4950284162624,-41.9464336881619,-73.1631132783218,-65.522618571274,-62.0448664182636
