PeriodId,cHRev-133-farreplacerandom,AuthorshipRec-134-farreplacerandom,RevOwnRec-135-farreplacerandom,RetentionRec-136-farreplacerandom,LearnRec-137-farreplacerandom,TurnoverRec-138-farreplacerandom,WhoDo-139-farreplacerandom,cHRev-141-add,AuthorshipRec-142-add,RevOwnRec-143-add,RetentionRec-144-add,LearnRec-145-add,TurnoverRec-146-add,WhoDo-147-add,TurnoverRec-148-addAndReplace,TurnoverRec-149-addHoarded_2,TurnoverRec-150-addHoarded_3,TurnoverRec-151-addHoarded_4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,42.0091324200913,40.6392694063927,42.0091324200913,40.6392694063927,40.6392694063927,40.6392694063927,40.6392694063927,5.47945205479452,27.8538812785388,20.5479452054795,16.8949771689498
5,0,0,0,0,0,0,0,30.9716599190283,30.8704453441296,30.9716599190283,30.8704453441296,30.8704453441296,30.8704453441296,30.7692307692308,3.74493927125506,20.8502024291498,15.587044534413,11.4372469635628
6,0,0,0,0,0,0,0,22.9656419529837,22.7848101265823,22.9656419529837,22.7848101265823,22.7848101265823,22.7848101265823,22.7848101265823,2.89330922242315,13.0198915009042,8.49909584086799,5.96745027124774
7,0,0,0,0,0,0,0,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,1.76767676767677,13.1313131313131,8.96464646464646,6.43939393939394
8,0,0,0,0,0,0,0,20.3883495145631,20.3883495145631,20.3883495145631,20.3883495145631,20.3883495145631,20.3883495145631,20.3883495145631,1.29449838187702,11.9741100323625,8.41423948220065,6.31067961165049
9,0,0,0,0,0,0,0,16.4257555847569,16.4257555847569,16.4257555847569,16.4257555847569,16.4257555847569,16.4257555847569,16.4257555847569,1.31406044678055,9.85545335085414,6.70170827858081,5.91327201051248
10,0,0,0,0,0,0,0,21.0071942446043,21.0071942446043,21.0071942446043,21.0071942446043,21.0071942446043,21.0071942446043,21.0071942446043,3.30935251798561,12.5179856115108,9.49640287769784,6.33093525179856
11,0,0,0,0,0,0,0,19.8876404494382,19.8876404494382,19.8876404494382,19.8876404494382,19.8876404494382,19.8876404494382,19.8876404494382,2.69662921348315,11.685393258427,8.20224719101124,6.29213483146067
12,0,0,0,0,0,0,0,18.1528662420382,18.1528662420382,18.1528662420382,18.1528662420382,18.1528662420382,18.1528662420382,18.312101910828,2.07006369426752,8.75796178343949,5.73248407643312,3.98089171974522
13,0,0,0,0,0,0,0,21.0233592880979,21.0233592880979,21.1345939933259,21.0233592880979,21.1345939933259,21.0233592880979,21.0233592880979,1.33481646273637,11.9021134593993,6.67408231368187,4.33815350389321
14,0,0,0,0,0,0,0,20.2429149797571,20.2429149797571,20.3778677462888,20.2429149797571,20.2429149797571,20.2429149797571,20.2429149797571,2.56410256410256,10.5263157894737,6.61268556005398,4.31848852901484
15,0,0,0,0,0,0,0,13.6861313868613,13.6861313868613,13.6861313868613,13.6861313868613,13.8686131386861,13.6861313868613,13.6861313868613,0.72992700729927,6.75182481751825,4.37956204379562,2.73722627737226
16,0,0,0,0,0,0,0,12.7035830618893,12.7035830618893,12.7035830618893,12.7035830618893,12.7035830618893,12.7035830618893,12.7035830618893,1.95439739413681,6.84039087947883,4.23452768729642,2.60586319218241
17,0,0,0,0,0,0,0,15.7377049180328,15.7377049180328,15.7377049180328,15.6284153005464,15.6284153005464,15.6284153005464,15.7377049180328,1.4207650273224,6.99453551912568,4.15300546448087,3.3879781420765
18,0,0,0,0,0,0,0,9.76303317535545,9.85781990521327,9.76303317535545,9.76303317535545,9.76303317535545,9.76303317535545,9.85781990521327,0.4739336492891,5.11848341232228,2.8436018957346,2.18009478672986
19,0,0,0,0,0,0,0,14.0752864157119,14.0752864157119,13.911620294599,14.0752864157119,13.911620294599,13.911620294599,13.911620294599,0.654664484451719,9.16530278232406,6.71031096563011,5.40098199672668
20,0,0,0,0,0,0,0,10.2140077821012,10.2140077821012,10.2140077821012,10.2140077821012,10.3112840466926,10.2140077821012,10.2140077821012,1.07003891050584,4.96108949416342,3.40466926070039,2.62645914396887
21,0,0,0,0,0,0,0,9.3812375249501,9.3812375249501,9.3812375249501,9.3812375249501,9.3812375249501,9.3812375249501,9.3812375249501,1.19760479041916,5.08982035928144,3.79241516966068,2.49500998003992
22,0,0,0,0,0,0,0,17.8082191780822,17.8082191780822,17.8082191780822,17.8082191780822,17.8082191780822,17.8082191780822,17.8082191780822,1.36986301369863,8.21917808219178,5.47945205479452,5.47945205479452
ReviewerPlusPlus_Lifetime,0,0,0,0,0,0,0,17.6962582538518,17.6669112252384,17.7035950110051,17.6522377109318,17.6669112252384,17.6449009537784,17.6595744680851,1.83418928833456,10.1540719002201,6.89655172413793,5.0476889214967
