PeriodId,cHRev-131-farreplacerandom,AuthorshipRec-132-farreplacerandom,RevOwnRec-133-farreplacerandom,RetentionRec-134-farreplacerandom,LearnRec-135-farreplacerandom,TurnoverRec-136-farreplacerandom,WhoDo-137-farreplacerandom,cHRev-139-add,AuthorshipRec-140-add,RevOwnRec-141-add,RetentionRec-142-add,LearnRec-143-add,TurnoverRec-144-add,WhoDo-145-add,TurnoverRec-146-addAndReplace,TurnoverRec-147-addHoarded_2,TurnoverRec-148-addHoarded_3,TurnoverRec-149-addHoarded_4
10,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,44.4444444444444,-44.4444444444444,-44.4444444444444,-22.2222222222222,-33.3333333333333,11.1111111111111,-88.8888888888889,-88.8888888888889,-88.8888888888889,-88.8888888888889,-88.8888888888889,-88.8888888888889,-88.8888888888889,-44.4444444444444,-88.8888888888889,-88.8888888888889,-77.7777777777778
12,0,37.5,-37.5,-62.5,162.5,-50,62.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-62.5,-87.5,-87.5,-75
13,-14.2857142857143,-42.8571428571429,-33.3333333333333,-69.0476190476191,30.952380952381,-69.0476190476191,-45.2380952380952,-57.1428571428571,-76.1904761904762,-45.2380952380952,-76.1904761904762,-16.6666666666667,-76.1904761904762,-73.8095238095238,-69.0476190476191,-71.4285714285714,-69.0476190476191,-69.0476190476191
14,-8.77192982456141,-19.2982456140351,28.0701754385965,-29.8245614035088,50.8771929824561,-38.5964912280702,-31.5789473684211,-28.0701754385965,-38.5964912280702,-21.0526315789474,-56.140350877193,-28.0701754385965,-66.6666666666667,-68.4210526315789,-40.3508771929825,-61.4035087719298,-61.4035087719298,-61.4035087719298
15,52.7777777777778,36.1111111111111,225,-16.6666666666667,141.666666666667,-27.7777777777778,-5.55555555555556,-61.1111111111111,-58.3333333333333,-11.1111111111111,-66.6666666666667,-38.8888888888889,-69.4444444444444,-61.1111111111111,-41.6666666666667,-47.2222222222222,-41.6666666666667,-41.6666666666667
16,12,-10.6666666666667,185.333333333333,-29.3333333333333,124,-36,-17.3333333333333,-48,-54.6666666666667,-14.6666666666667,-60,-22.6666666666667,-62.6666666666667,-53.3333333333333,-42.6666666666667,-42.6666666666667,-38.6666666666667,-37.3333333333333
17,-6.84931506849316,-24.6575342465753,241.095890410959,-26.027397260274,184.931506849315,-34.2465753424658,-10.958904109589,-63.013698630137,-69.8630136986301,-20.5479452054795,-76.7123287671233,-38.3561643835616,-79.4520547945205,-69.8630136986301,-54.7945205479452,-43.8356164383562,-39.7260273972603,-39.7260273972603
18,-15.7303370786517,-22.4719101123595,311.23595505618,-26.9662921348315,211.23595505618,-26.9662921348315,-2.24719101123596,-83.1460674157303,-83.1460674157303,-12.3595505617978,-84.2696629213483,-43.8202247191011,-85.3932584269663,-78.6516853932584,-55.0561797752809,-51.685393258427,-47.1910112359551,-43.8202247191011
19,-13.7254901960784,-12.7450980392157,-24.5098039215686,-22.5490196078431,275.490196078431,-19.6078431372549,-20.5882352941177,-89.2156862745098,-89.2156862745098,-91.1764705882353,-91.1764705882353,-58.8235294117647,-90.1960784313726,-90.1960784313726,-51.9607843137255,-55.8823529411765,-45.0980392156863,-43.1372549019608
20,-1.93548387096775,-6.7741935483871,177.096774193548,-7.41935483870968,122.58064516129,-10.6451612903226,15.1612903225806,-80.3225806451613,-84.8387096774194,-31.2903225806452,-89.3548387096774,-35.1612903225806,-89.0322580645161,-68.3870967741936,-41.2903225806452,-69.6774193548387,-57.741935483871,-50.6451612903226
21,1.18764845605701,96.6745843230404,127.790973871734,-12.3515439429929,109.026128266033,-11.1638954869359,51.5439429928741,-67.6959619952494,-43.2304038004751,-24.7030878859858,-80.9976247030879,-35.1543942992874,-82.1852731591449,-45.3681710213777,-29.9287410926366,-63.895486935867,-51.3064133016627,-43.9429928741093
22,14.3540669856459,105.980861244019,134.688995215311,-5.98086124401914,148.086124401914,-9.80861244019139,64.8325358851675,-71.7703349282297,-47.1291866028708,-30.8612440191388,-86.6028708133971,-33.7320574162679,-85.6459330143541,-44.4976076555024,-26.3157894736842,-60.0478468899521,-44.2583732057416,-37.5598086124402
23,10.8882521489971,-2.00573065902578,137.535816618911,-0.286532951289398,131.232091690544,-10.0286532951289,12.6074498567335,-79.3696275071633,-87.9656160458453,-51.5759312320917,-90.8309455587392,-41.2607449856733,-90.8309455587392,-72.4928366762178,-32.6647564469914,-63.6103151862464,-50.1432664756447,-43.2664756446991
24,57.6592082616179,55.7659208261618,98.2788296041308,-15.4905335628227,94.1480206540448,-19.2771084337349,45.4388984509466,-43.7177280550775,-44.578313253012,-22.0309810671256,-71.2564543889845,-30.9810671256454,-73.3218588640275,-45.4388984509466,-28.2271944922547,-55.7659208261618,-46.4716006884682,-41.9965576592083
25,70.3791469194313,-17.0616113744076,119.668246445498,-12.085308056872,127.488151658768,-20.6161137440758,10.9004739336493,-56.3981042654028,-81.5165876777251,-32.4644549763033,-77.7251184834123,-37.4407582938389,-81.042654028436,-74.1706161137441,-28.6729857819905,-58.7677725118483,-46.4454976303318,-40.9952606635071
26,59.1985428051002,63.023679417122,102.00364298725,-15.1183970856102,123.497267759563,-21.6757741347905,84.3351548269581,-48.9981785063752,-45.5373406193078,-29.8724954462659,-76.3205828779599,-33.6976320582878,-78.6885245901639,-41.5300546448087,-31.1475409836066,-56.1020036429873,-43.5336976320583,-38.615664845173
27,44.2758620689655,55.7241379310345,76.9655172413793,-9.51724137931035,114.48275862069,-17.5172413793103,76.551724137931,-46.3448275862069,-45.7931034482759,-35.5862068965517,-73.1034482758621,-30.0689655172414,-76,-35.7241379310345,-24,-53.6551724137931,-42.6206896551724,-38.4827586206897
29,5.8765915768854,29.382957884427,30.460333006856,-22.0372184133203,73.0656219392752,-30.5582761998041,53.3790401567091,-50.5386875612145,-43.9764936336925,-37.6101860920666,-69.6376101860921,-32.5171400587659,-73.5553379040157,-36.6307541625857,-36.5328109696376,-56.6111655239961,-49.4613124387855,-44.7600391772772
30,6.8744271310724,29.2392300641613,30.980751604033,-20.0733272227314,76.2603116406966,-28.5059578368469,64.7112740604949,-50.1374885426215,-41.1549037580202,-36.9385884509624,-67.9193400549954,-25.2978918423465,-71.8606782768103,-28.6892758936755,-34.5554537121907,-54.1704857928506,-46.7461044912924,-41.6131989000917
31,5.33199195171026,30.4828973843058,29.5774647887324,-18.5110663983903,76.7605633802817,-27.7665995975855,55.0301810865191,-55.2313883299799,-46.6800804828974,-42.1529175050302,-71.5291750503018,-30.2816901408451,-75.9557344064386,-35.1106639839034,-36.1167002012072,-57.9476861167002,-49.5975855130785,-45.271629778672
32,18.546365914787,33.5839598997494,39.2230576441103,-19.5488721804511,88.8471177944862,-25.4385964912281,56.140350877193,-64.1604010025063,-58.6466165413534,-53.0075187969925,-81.453634085213,-41.3533834586466,-82.2055137844611,-46.3659147869674,-33.9598997493734,-58.1453634085213,-45.6140350877193,-42.3558897243108
33,14.9677419354839,27.741935483871,22.0645161290323,-18.3225806451613,80.6451612903226,-25.6774193548387,61.1612903225806,-49.4193548387097,-45.8064516129032,-45.9354838709677,-72.7741935483871,-34.3225806451613,-76.7741935483871,-32.6451612903226,-31.3548387096774,-55.8709677419355,-46.0645161290323,-41.0322580645161
34,-9.83981693363845,21.7391304347826,-14.41647597254,-27.4599542334096,87.1853546910755,-36.8421052631579,24.4851258581236,-74.8283752860412,-68.8787185354691,-77.8032036613272,-88.7871853546911,-42.1052631578947,-91.0755148741419,-54.233409610984,-48.7414187643021,-75.7437070938215,-64.5308924485126,-61.0983981693364
35,10.9442060085837,19.9570815450644,7.08154506437768,-24.6781115879828,99.1416309012876,-32.8326180257511,44.8497854077253,-61.1587982832618,-63.0901287553648,-57.2961373390558,-81.3304721030043,-37.5536480686695,-85.6223175965665,-52.1459227467811,-44.206008583691,-69.7424892703863,-58.5836909871245,-52.7896995708155
Median,5.8765915768854,27.741935483871,39.2230576441103,-19.5488721804511,114.48275862069,-26.9662921348315,24.4851258581236,-61.1111111111111,-58.3333333333333,-35.5862068965517,-76.7123287671233,-35.1543942992874,-79.4520547945205,-53.3333333333333,-36.5328109696376,-57.9476861167002,-46.7461044912924,-43.1372549019608
Average,12.5649497073604,21.1525519550192,78.7979104392834,-22.2496095056638,120.475145048539,-26.5572025990022,26.449574695078,-60.2472128894013,-59.8089311256375,-40.0668047863893,-74.6867335637495,-37.7843884982115,-76.8078108872082,-55.4082083616297,-38.8080888078888,-58.4106809330458,-50.4923215623667,-46.1335282484327
